son,parent
1019275,1101283
1694312,1271654
1870907,1271654
2214448,1271654
2031620,1271654
1908312,1243450
1003540,1244048
1084680,1111223
1138276,2438390
1065316,2471803
1018219,2471803
1150110,1149632
2365660,730986
1112276,733315
1097553,1002201
1251326,1250877
1241477,1253374
1876411,2322583
1269847,2322583
2026156,1089050
2026152,1089050
2026140,1089050
1623495,1093832
2231079,1111694
1243605,1111694
1074475,1113164
1963434,1751142
1800624,1751142
2184000,730986
1537757,730986
1113714,730986
1354613,730986
793461,730986
1192110,730986
1092250,730986
2388068,730986
1073758,1089050
1171292,1751142
1000220,723907
1691072,1510466
1336585,1013400
1450977,1262435
1068465,1262435
1337526,1272181
786438,1121679
1024832,1191673
1108520,1262435
1337271,741313
1169049,763275
1047059,763275
1122367,786409
1250654,1029519
1283663,1058851
2301868,1121681
2498808,2498809
1019607,1091036
1203392,28435
1027948,28435
1038063,286260
1208408,733225
1187211,1184247
1246967,1283406
1073708,722081
1014098,1265616
1005938,1272937
1022386,1051567
1329768,1329772
1025731,1338287
1223394,1109313
1310814,1174330
1903253,39504
1857435,39504
1351635,39504
1000167,39504
2184387,722081
1278446,744617
1623046,755889
1205639,798683
1277455,1248156
2021496,1266612
2469991,1267656
1982217,1290353
1140590,1300155
1058117,2117802
1309781,1099563
1177044,1124338
1251573,1124499
1656188,1107544
1245462,1231818
1691398,31247
1368816,31247
1254521,31247
1668966,728353
1053655,759524
1143835,787681
1302199,1249856
1240451,1250502
1252268,1252311
793228,1266766
1256537,1245896
1455925,1262236
1041220,1037052
1797771,625705
2289262,738467
2435576,1250122
1282165,1250238
1058261,1015132
2120750,1019417
769667,1315040
1224617,1088987
2495612,2495610
2333259,1235272
2125484,403884
2347579,1241970
1193913,725249
1065472,725249
1213875,728357
1138450,728357
1179522,1265890
1111756,1265981
1004934,1266196
45357,1266515
1011837,1266730
1579620,1579619
1266331,1099150
1005336,1122364
1149886,1166843
797153,2292811
1079777,797592
796296,790060
1691767,1001312
1174069,1001312
1067007,1001312
1418821,1005886
1066409,1007745
1639872,1265805
1063819,1034899
1055352,1034899
1254384,1034899
1159432,1300464
1024346,1062835
2310554,1097727
1753228,1001312
1145413,1007745
1124595,1007745
1593398,1332238
2412813,725657
1271724,730986
1110098,733315
2398876,2322583
1144445,1018782
1075286,1018782
1374864,1799275
1075900,1269903
1956887,1026637
1327461,1026637
1075342,1293074
793073,1043133
2026146,1089050
1123371,1136725
2259678,1751142
2347699,1751142
2067979,1751142
1037449,730986
1830282,730986
1719065,730986
1245173,730986
1167824,730986
1018848,730986
2325472,730986
2311494,730986
2428983,730986
1109887,730986
2357771,730986
2028349,1244067
1995709,1001997
1671845,1265305
1427591,1035158
1017945,1073499
1985594,1250372
1067056,1266175
1025203,37556
1086461,750500
2468848,1337721
1023444,1337721
1078010,750500
1335791,1265897
2446658,1327999
1248700,1327999
2347460,723907
1127412,1012603
1010984,1265631
751546,1028445
2486337,1284254
1115932,1040570
1548266,2122648
1338978,1331586
1337269,1334698
1052214,1091103
1031428,1091103
2488501,2437627
1228300,1267507
734387,1270424
1781815,1269988
1171031,1080865
2239371,1121681
1657993,1220311
1965948,2496256
2475286,28435
1400202,28435
1316653,28435
